score,country
16.664742147552953,Bolivia
17.06633310486635,Colombia
15.97805225653206,Morocco
17.093034734917733,Mexico
15.951979823455236,Cambodia
16.36568341437061,Guinea
16.04438319327731,Cyprus
14.816623667975321,Monaco
15.985523329129883,Brunei
14.578133595284871,China
14.804512015693962,Uganda
17.7379094076655,Indonesia
15.293732394366199,Sudan
16.82743374272786,Montenegro
16.82529209621993,Malawi
17.137258509659613,Philippines
16.23653770491803,Poland
17.051889710827165,Maldives
15.279006479481641,Kuwait
16.02793974507532,Libya
16.420894023103966,Eritrea
19.20234466588511,Tajikistan
17.56891168926347,Pakistan
16.037261904761902,Mozambique
15.61398010960016,Slovenia
18.07879611650485,Netherlands
15.625882352941176,Barbados
18.96642223819794,Russia
15.998093797276855,India
15.526107331821617,Vanuatu
16.165091401489498,Armenia
16.62210947930574,Bangladesh
18.526362484157158,Uzbekistan
15.6579942183678,Chad
17.564389380530972,Argentina
17.47093698630137,Zimbabwe
14.917541899441343,Qatar
17.729586359330593,Kyrgyzstan
17.748355464759957,Laos
16.79481012658228,Brazil
17.419303482587058,Grenada
16.593840237720674,Germany
15.88564751703992,Niger
14.925302325581395,Japan
15.115765036932817,Lebanon
14.86490230905861,Djibouti
17.381183591123065,Sweden
16.557011494252873,Angola
17.863312680710447,Belarus
15.82985462892119,Ireland
15.273637090327732,Jordan
17.130335353535354,Guyana
16.626508172362552,Ecuador
15.382088565763382,Zambia
17.67333333333333,Liechtenstein
18.79215909090909,Belgium
17.522136945071484,Moldova
15.76326032315978,Peru
16.226666666666663,Belize
16.770652406417117,Rwanda
14.945357142857137,Andorra
18.124948875255622,Uruguay
17.39261066573719,Ethiopia
16.950212234706616,Slovakia
17.68574881765633,Romania
15.633011734028685,Burma
15.804439436619717,Lesotho
16.0751376146789,Algeria
16.773886440238524,Iceland
17.86065857885615,Paraguay
16.931694997571636,Estonia
18.018782014797953,Azerbaijan
17.53449566408033,Honduras
16.555498179410787,Greece
16.993174603174605,Dominica
16.41156411137848,Portugal
16.68159965034965,Australia
16.53279087452471,Chile
18.796838402648458,Italy
11.841744548286602,Turkey
17.549742533470646,Ukraine
17.402154942119328,Switzerland
17.583422680412372,Taiwan
16.11772511848341,Gabon
18.704069218668064,France
16.278104458598722,Serbia
14.513297791317594,Nauru
17.349017793594303,Bulgaria
16.873667117726658,Spain
17.239574902922545,Canada
17.016766406839327,Finland
17.036188631742032,Israel
15.77442770118628,Botswana
16.442717622080675,Luxembourg
15.694847051403343,Kenya
16.676161776367966,Namibia
16.127539062500002,Haiti
16.07709525843656,Liberia
18.22122924761568,Cameroon
17.00169625246549,Senegal
15.23895944912012,Fiji
16.580073081607797,Yemen
15.919796126401632,Tunisia
18.697261698440204,Venezuela
17.36993449781659,Hungary
15.345421203438395,Mali
15.280123203285417,Norway
15.0060489060489,Vietnam
16.220234251345357,Afghanistan
15.667193877551021,Ghana
15.269403437815974,Mauritius
16.7596923076923,Nepal
18.90804325078479,Austria
17.52754208754209,Mongolia
15.254608233731744,Tuvalu
15.373163204747772,Egypt
15.53682987551867,Thailand
16.362241379310337,Syria
16.115470022205777,Albania
14.175115431348726,Oman
14.622403628117912,Swaziland
15.74915350153266,Tanzania
16.689469026548668,Malaysia
16.859609302325577,Guatemala
17.771236816874403,Singapore
15.94304755742478,Croatia
17.43274573142593,Somalia
15.92035443972679,Iran
17.197932108377454,Cuba
15.469698015530625,Nigeria
16.494090019569473,Jamaica
17.99161445783132,Kazakhstan
14.663509965969855,Malta
16.165810055865915,Kiribati
16.26509167418094,Palestine
17.165024154589364,Guinea-Bissau
17.9891947565543,Turkmenistan
16.704900133155792,Nicaragua
16.071572580645157,Latvia
16.991522935779816,Comoros
14.828896103896103,Togo
16.68519540229885,Lithuania
15.384268112370624,Iraq
16.81413138686131,Panama
15.578362369337981,Denmark
14.671990604815033,Tonga
