EN_ARI	SV_ARI		EN_CLI	SV_CLI		EN_LIX	SV_LIX
13.5858430589	12.2841451432		13.3203222387	15.9430475574		13.3203222387	47.7732660455
13.5861323669	12.3275590825		13.3365489885	15.9519798235		13.3365489885	47.8437894073
13.5955356689	12.3638313535		13.347748635	15.9780522565		13.347748635	47.8596048648
13.636336875	12.3757018557		13.3737200985	15.9855233291		13.3737200985	47.9737471724
13.6604553228	12.3768514212		13.3785179063	15.9980937973		13.3785179063	48.2704078345
13.6754885273	12.3970434895		13.3899491989	16.0279397451		13.3899491989	48.3403051014
13.7260951544	12.4005028994		13.3905490705	16.0372619048		13.3905490705	48.4835299964
13.7381145653	12.4042282894		13.4008986271	16.0443831933		13.4008986271	48.5551830297
13.7484284336	12.4753066384		13.4175498803	16.0715725806		13.4175498803	48.5805823247
13.787587307	12.4864128611		13.4183432635	16.0751376147		13.4183432635	48.6206753773
13.8033969366	12.4914645795		13.4248131236	16.0770952584		13.4248131236	48.6221092024
13.8146993035	12.5018298593		13.4253706351	16.1154700222		13.4253706351	48.6673743224
13.8289491269	12.5073684211		13.4434928415	16.1177251185		13.4434928415	48.7805338763
13.8375245879	12.5155119227		13.4544878837	16.1275390625		13.4544878837	48.7902530995
13.8393546028	12.542027027		13.4735967461	16.1650914015		13.4735967461	48.8084387465
13.867369204	12.5652264258		13.4738963046	16.1658100559		13.4738963046	48.8581095869
13.878522885	12.6052682425		13.498792483	16.2202342513		13.498792483	48.9038281979
13.969630192	12.6232231469		13.5515822785	16.2266666667		13.5515822785	48.9417023514
13.9703603959	12.6405803856		13.555756903	16.2365377049		13.555756903	48.9454714829
14.0109585754	12.6817868269		13.5753649317	16.2650916742		13.5753649317	48.9981360671
14.0493767169	12.7084460329		13.5853906173	16.2781044586		13.5853906173	49.1250977763
14.0631222213	12.731098292		13.5864647676	16.3622413793		13.5864647676	49.2187201803
14.0658720284	12.7325546176		13.5895413062	16.3656834144		13.5895413062	49.4408564409
14.0691175316	12.7336326583		13.5923480797	16.4115641114		13.5923480797	49.4477051511
14.0732864304	12.7463719		13.6021138878	16.4208940231		13.6021138878	49.4542000809
14.1165573538	12.8070147393		13.6225578209	16.4427176221		13.6225578209	49.5327325323
14.1926281257	12.8528470516		13.6226540711	16.4940900196		13.6226540711	49.5521564047
14.1977661081	12.8556420673		13.6345670996	16.5327908745		13.6345670996	49.5616987679
14.2001625511	12.8602757554		13.6419141	16.5554981794		13.6419141	49.6260563623
14.2008994569	12.8683085648		13.6428601352	16.5570114943		13.6428601352	49.6274934893
14.2106415349	12.8883977006		13.6485208234	16.5800730816		13.6485208234	49.7105220095
14.2203486057	12.9079302141		13.6549523123	16.5938402377		13.6549523123	49.7145301095
14.2284268874	12.926944773		13.6604260652	16.6221094793		13.6604260652	49.7492650223
14.2325445899	12.9858238425		13.6777318261	16.6265081724		13.6777318261	49.7668038735
14.2474670011	12.9943837456		13.6844715944	16.6647421476		13.6844715944	49.8099656347
14.2614856102	13.030387391		13.6896542482	16.6761617764		13.6896542482	49.9041121182
14.2884945534	13.069782769		13.7155201819	16.6815996503		13.7155201819	49.9268744623
14.297821163	13.0811912055		13.7191022939	16.6851954023		13.7191022939	49.9566895134
