score,country
54.40475152179661,Bolivia
59.09950763129126,Colombia
54.43365937911614,Morocco
56.87401787531424,Mexico
54.38288753149435,Cambodia
52.48421975747516,Guinea
54.616613405500715,Cyprus
49.88368850765097,Monaco
48.57537840857785,Brunei
57.120779636629784,China
52.048369624685414,Uganda
57.00517873513894,Indonesia
48.79917111233783,Sudan
53.72380112505178,Montenegro
56.17700101009663,Malawi
52.62306880041063,Philippines
53.36763666274183,Poland
50.450877831541376,Maldives
49.749794530150886,Kuwait
49.95792427778225,Libya
54.12943370743159,Eritrea
56.18262764042815,Tajikistan
55.334792688837084,Pakistan
54.900387801268856,Mozambique
57.42526005934161,Slovenia
52.543584678657865,Netherlands
51.03907372466475,Barbados
51.7180931744312,Russia
54.83897188049209,India
52.97039085812908,Vanuatu
56.49933497779118,Armenia
53.297295625980354,Bangladesh
53.27881405148369,Uzbekistan
49.885368899443165,Chad
56.96129877959587,Argentina
54.390235002189456,Zimbabwe
49.570362644415916,Qatar
54.038012394109955,Kyrgyzstan
52.965802156209136,Laos
58.60053016449321,Brazil
48.71045622061253,Grenada
55.6285199502545,Germany
52.906578502078744,Niger
52.70005149961989,Japan
54.69112438256662,Lebanon
51.92688133494117,Djibouti
51.47439873449964,Sweden
55.20844501316968,Angola
54.8044304246678,Belarus
53.41465550183088,Ireland
50.86118000425489,Jordan
54.297369418176245,Guyana
56.61751624609671,Ecuador
54.37334415611585,Zambia
53.18983033095937,Liechtenstein
57.090112857439586,Belgium
57.36583238745091,Moldova
51.019643660025324,Peru
48.39226511163439,Belize
55.01577363618715,Rwanda
51.83341401161767,Andorra
56.06415872291243,Uruguay
50.352556624322446,Ethiopia
50.66054562971725,Slovakia
55.90372086683931,Romania
53.5250781555295,Burma
55.659579001347,Lesotho
52.58795478040484,Algeria
54.06640675763482,Iceland
55.80725769497012,Paraguay
55.36465120413099,Estonia
54.546245781226574,Azerbaijan
55.57078199215254,Honduras
55.52082374597331,Greece
50.65837016411314,Dominica
59.29423385603161,Portugal
57.81268199173842,Australia
54.86215198873943,Chile
57.979481663857285,Italy
55.926451375483886,Turkey
57.100230104526204,Ukraine
54.00902037769472,Switzerland
52.97606843910174,Taiwan
52.6229907992462,Gabon
55.85005690854172,France
54.90628152319016,Serbia
48.71494364842536,Nauru
55.75467875416366,Bulgaria
54.92527811437135,Spain
58.55080597706696,Canada
52.456268851061154,Finland
53.412963148574065,Israel
56.569434518492045,Botswana
55.262617370892016,Luxembourg
52.15571651642195,Kenya
55.30327696109647,Namibia
47.74711064320604,Haiti
52.37299065759012,Liberia
52.84541914050662,Cameroon
52.846953225873634,Senegal
51.71850716553527,Fiji
47.04936995957617,Yemen
52.44864586392902,Tunisia
57.54755784061697,Venezuela
54.15896621924709,Hungary
49.58923924394031,Mali
51.75450254369289,Norway
56.98910068426197,Vietnam
54.284418007786826,Afghanistan
58.156795663397816,Ghana
53.62155029202873,Mauritius
49.75822357879895,Nepal
54.99800048536895,Austria
52.54793386348325,Mongolia
58.8727932224026,Tuvalu
52.10872295767432,Egypt
53.896483299786496,Thailand
52.77459312577689,Syria
55.289526860780434,Albania
48.004832339226645,Oman
52.348218058164456,Swaziland
51.98075789426852,Tanzania
53.304573983890876,Malaysia
53.28272521492323,Guatemala
55.10419808286494,Singapore
57.11853617679683,Croatia
56.806799014080475,Somalia
52.5679350465025,Iran
51.02834046732447,Cuba
54.38270315598356,Nigeria
54.14708501611859,Jamaica
54.635516596163555,Kazakhstan
50.61897192787552,Malta
55.83653835934694,Kiribati
55.96923336437121,Palestine
53.81445581284031,Guinea-Bissau
55.63181964992849,Turkmenistan
52.95626595466395,Nicaragua
54.022068357592616,Latvia
55.53862661824748,Comoros
50.37152805098749,Togo
55.26897340508418,Lithuania
50.85938016902308,Iraq
48.77023001697474,Panama
52.62938032014118,Denmark
55.41146455725732,Tonga

