score,country
14.178556784583812,Bolivia
13.816703221384515,Colombia
12.731098292048408,Morocco
12.375701855748332,Mexico
13.069782769040422,Cambodia
12.216849393759105,Guinea
11.209967787961112,Cyprus
12.119458309964479,Monaco
11.952021418757411,Brunei
10.142167610910583,China
11.935197119075553,Uganda
14.128135888501738,Indonesia
10.910585426976276,Sudan
13.23755701470872,Montenegro
13.343141875306827,Malawi
13.430106534010243,Philippines
13.18060945775536,Poland
13.03038739100213,Maldives
11.503001591451628,Kuwait
12.868308564763304,Libya
13.081191205495152,Eritrea
14.835613025143914,Tajikistan
12.501829859291618,Pakistan
11.94454968944099,Mozambique
11.870806689052571,Slovenia
14.517797195253507,Netherlands
12.246149393090569,Barbados
17.15270341807725,Russia
11.511961229272345,India
10.964151994130987,Vanuatu
12.746371899997492,Armenia
12.681786826880284,Bangladesh
16.532726589442035,Uzbekistan
12.40050289936881,Chad
14.212021695689408,Argentina
16.52885875190259,Zimbabwe
10.157663063193795,Qatar
16.015318449451144,Kyrgyzstan
14.28832512167277,Laos
13.124040084388184,Brazil
14.443605051664754,Grenada
13.130830864096133,Germany
12.106167858075857,Niger
12.376851421188633,Japan
12.73255461757924,Lebanon
10.542613812747025,Djibouti
12.926944772962095,Sweden
13.709439936894299,Angola
14.452899777548858,Belarus
12.327559082488278,Ireland
12.363831353521832,Jordan
14.750733538777602,Guyana
13.3597081976542,Ecuador
11.88687558401896,Zambia
13.219730516194325,Liechtenstein
16.46368133280037,Belgium
15.561648465621381,Moldova
12.860275755376449,Peru
13.409636178170693,Belize
12.397043489465887,Rwanda
10.61724837662338,Andorra
14.42734005258545,Uruguay
12.605268242528275,Ethiopia
12.28414514324627,Slovakia
12.888397700565328,Romania
11.783298979739655,Burma
11.507917670439817,Lesotho
13.301622807017544,Algeria
13.526528059785264,Iceland
12.985823842535282,Paraguay
13.153997983066418,Estonia
13.954373849141248,Azerbaijan
14.395920930452164,Honduras
12.475306638391814,Greece
13.849264705882355,Dominica
13.08587221400186,Portugal
11.779627461354437,Australia
13.304815163414986,Chile
14.65472009688824,Italy
8.388127618433774,Turkey
12.198852082562595,Ukraine
13.65311278600413,Switzerland
15.473377694470479,Taiwan
12.855642067253441,Gabon
15.54089364463968,France
13.082808759124084,Serbia
11.771238046881614,Nauru
12.708446032914743,Bulgaria
14.250754839089254,Spain
15.264315812942428,Canada
13.356317895696868,Finland
13.799083595836244,Israel
11.535627576578243,Botswana
12.507368421052632,Luxembourg
12.807014739299198,Kenya
12.907930214115787,Namibia
13.205145914119527,Haiti
13.833703787858134,Liberia
16.59740334583323,Cameroon
13.724484361792058,Senegal
10.671796458312542,Fiji
13.454717678788931,Yemen
13.836927132763897,Tunisia
15.278567152085344,Venezuela
13.868440964057775,Hungary
12.515511922684667,Mali
11.104261241723002,Norway
12.542027027027025,Vietnam
11.468251867870343,Afghanistan
12.123754251700682,Ghana
12.623223146923856,Mauritius
14.341237484737483,Nepal
14.022668521569933,Austria
14.87833055833056,Mongolia
11.470190206914282,Tuvalu
11.095889756977051,Egypt
11.053455739972335,Thailand
11.270764001388564,Syria
12.245152961788413,Albania
9.54320152414208,Oman
10.70802370432709,Swaziland
11.856835988816655,Tanzania
11.676486041639947,Malaysia
13.51544715847836,Guatemala
12.640580385583277,Singapore
12.491464579505191,Croatia
14.842717274265496,Somalia
12.243991322735958,Iran
12.733632658314981,Cuba
11.156992347225867,Nigeria
13.53051801542535,Jamaica
16.718518646012626,Kazakhstan
10.866190013195357,Malta
13.48115618168569,Kiribati
12.40422828938894,Palestine
13.737012110383162,Guinea-Bissau
15.093421725641456,Turkmenistan
12.994383745649074,Nicaragua
11.800039756252268,Latvia
12.56522642580157,Comoros
12.852847051597053,Togo
12.486412861136998,Lithuania
11.875403255361363,Iraq
13.73245509362107,Panama
11.687587928927158,Denmark
11.232649062468269,Tonga
